mid_idx,mid_freq,fine_idx,fine_freq,cosine,difference
0,1621.5806,1702,1622.620155,0.62243205,-1.039555000000064
1,1621.582,1695,1619.355096,0.70553267,2.226904000000104
2,1624.5117,1160,1624.196454,0.68262994,0.3152460000001156
3,1545.4087,318,1623.865063,0.7005421,-78.45636300000001
4,1545.4102,2109,1618.089356,0.77005804,-72.67915599999992
5,1545.4102,1967,1618.532723,0.7091696,-73.122523
6,1621.582,2128,1619.041842,0.7116715,2.5401580000000195
7,1627.4414,922,1621.78539,0.68079585,5.656009999999924
8,1624.5117,1170,1619.000693,0.72373384,5.511007000000063
9,1545.4102,1166,1622.156742,0.6274441,-76.74654199999986
10,1624.5117,2242,1621.709749,0.70502216,2.8019509999999173
11,1627.44,467,1620.523942,0.712438,6.916058000000021
12,1627.4414,956,1620.526786,0.7929248,6.914614000000029
13,1545.4102,1392,1625.902753,0.7488308,-80.49255300000004
14,1545.4087,1667,1616.487656,0.6351519,-71.07895600000006
15,1627.4414,1817,1618.08062,0.6257328,9.360779999999977
16,1618.6523,911,1622.275192,0.6348588,-3.6228920000000926
17,1627.44,1759,1626.24568,0.5394737,1.1943200000000616
18,1627.4414,2015,1545.016562,0.6864139,82.42483799999991
19,1627.4414,2428,1623.710867,0.5574363,3.730532999999923
20,1545.4087,2029,1626.353991,0.7424837,-80.945291
21,1621.582,1051,1618.311203,0.61655,3.2707970000001296
22,1627.4414,1080,1621.897839,0.66473377,5.543560999999954
23,1627.4414,1240,1617.085386,0.5166388,10.35601399999996
24,1627.4414,2726,1626.472989,0.47266918,0.9684109999998327
25,1618.6523,284,1621.412789,0.6075895,-2.760489000000007
26,1545.4087,665,1623.650452,0.7872315,-78.24175200000013
27,1624.5103,1940,1618.104116,0.657605,6.406183999999939
28,1545.4102,2977,1622.463856,0.7681407,-77.05365600000005
29,1624.5117,548,1616.330263,0.4997078,8.18143699999996
30,1612.793,839,1618.424364,0.65727466,-5.631364000000076
31,1621.582,754,1545.910927,0.55441606,75.6710730000002
32,1621.5806,1082,1619.964561,0.60000104,1.6160390000000007
33,1627.4414,1576,1622.424142,0.7814516,5.017257999999856
34,1624.5117,2799,1624.992748,0.7074086,-0.48104799999987335
35,1627.4414,378,1618.261755,0.7561246,9.179644999999937
36,1545.4102,489,1616.58079,0.7380432,-71.17058999999995
37,1627.4414,1165,1618.24564,0.61732095,9.195759999999837
38,1627.4414,1795,1626.260052,0.493183,1.1813479999998435
39,1621.582,701,1622.845469,0.53416085,-1.2634689999999864
40,1624.5117,581,1626.074499,0.5507028,-1.562799000000041
41,1624.5117,1794,1621.939383,0.61228335,2.572317000000112
42,1627.4414,80,1618.22176,0.8522156,9.219640000000027
43,1627.4414,2127,1620.486083,0.5521199,6.955316999999923
44,1624.5117,538,1620.86024,0.39258006,3.651460000000043
45,1627.4414,2894,1618.919897,0.5887267,8.521502999999939
46,1627.4414,1888,1615.765284,0.55546635,11.676115999999865
47,1618.6523,2892,1545.843853,0.7039671,72.80844699999989
48,1618.6523,2999,1545.988997,0.85286367,72.66330300000004
49,1618.6523,1478,1619.307507,0.76393914,-0.6552070000000185
50,1618.6523,1655,1621.99479,0.7391795,-3.342489999999998
51,1618.6523,326,1624.509106,0.688194,-5.856806000000006
52,1618.6523,583,1620.908249,0.9221134,-2.2559490000001006
53,1618.6523,364,1545.846152,0.7208279,72.8061479999999
54,1615.7227,824,1623.446954,0.6859046,-7.7242539999999735
55,1618.6523,939,1625.401352,0.6897035,-6.74905200000012
56,1618.6523,53,1626.127423,0.7921813,-7.47512299999994
57,1618.6523,414,1624.131205,0.8792299,-5.478904999999941
58,1618.6523,1003,1623.827792,0.6951313,-5.175492000000077
59,1618.6523,2369,1619.418246,0.7775144,-0.7659459999999854
60,1618.6523,1799,1618.01286,0.88955593,0.6394399999999223
61,1618.6523,1578,1545.866101,0.8060166,72.7861989999999
62,1615.7227,2069,1621.846975,0.7521114,-6.124274999999898
63,1618.6523,1479,1621.26864,0.8990223,-2.6163400000000365
64,1618.6523,2739,1620.833667,0.8612845,-2.1813670000001366
65,1618.6509,263,1621.685643,0.7726991,-3.034742999999935
66,1545.4102,474,1626.424852,0.6851406,-81.01465200000007
67,1618.6523,988,1619.691102,0.80485713,-1.0388020000000324
68,1618.6523,173,1618.191448,0.77502275,0.46085199999993165
69,1618.6509,1797,1626.117356,0.7892892,-7.46645599999988
70,1545.4102,345,1620.558886,0.79083115,-75.148686
71,1545.4087,1721,1619.956291,0.76935333,-74.54759100000001
72,1545.4102,2395,1619.552024,0.6941566,-74.14182400000004
73,1618.6523,445,1623.999244,0.7635024,-5.346944000000121
74,1624.5117,2309,1620.176508,0.745813,4.335192000000006
75,1545.4102,2890,1617.994465,0.7456166,-72.58426499999996
76,1624.5117,614,1625.029072,0.6632801,-0.517372000000023
77,1624.5117,37,1618.397727,0.70349723,6.113972999999987
78,1545.4102,1883,1624.1325,0.8327374,-78.7222999999999
