mid_idx,mid_freq,fine_idx,fine_freq,cosine,difference
0,1618.6523,2593,1623.529776,0.84425944,-4.877476000000115
1,1618.6523,460,1626.422041,0.84188443,-7.769741000000067
2,1618.6523,110,1619.204518,0.78745264,-0.552218000000039
3,1618.6523,2408,1619.696282,0.8229856,-1.0439820000001419
4,1618.6523,2682,1626.292556,0.74418676,-7.640256000000136
5,1618.6523,2071,1618.833977,0.8874593,-0.18167700000003606
6,1618.6523,604,1626.239478,0.72334486,-7.587177999999994
7,1615.7227,2624,1619.670823,0.7816719,-3.948122999999896
8,1618.6523,1510,1618.265684,0.7006273,0.3866160000000036
9,1618.6523,400,1626.428618,0.7391023,-7.7763179999999466
10,1618.6523,2076,1624.099557,0.8755701,-5.447257000000036
11,1618.6523,671,1626.46677,0.7459959,-7.8144700000000284
12,1618.6523,733,1622.658952,0.86788774,-4.006652000000031
13,1618.6523,1085,1622.422242,0.750615,-3.7699420000001282
14,1618.6523,2686,1622.700376,0.8063905,-4.048076000000037
15,1615.7227,486,1625.497084,0.6385054,-9.774384000000055
16,1618.6523,2169,1623.469032,0.8596794,-4.816732000000002
17,1618.6523,2768,1626.463076,0.76476854,-7.810776000000033
18,1618.6509,2222,1621.251369,0.7180857,-2.6004689999999755
19,1545.4102,451,1620.542846,0.6912478,-75.13264600000002
20,1618.6523,200,1623.160872,0.74585277,-4.508571999999958
21,1618.6523,987,1622.534146,0.7127063,-3.881845999999996
22,1618.6509,1961,1622.493091,0.6915732,-3.842190999999957
23,1618.6523,2539,1618.259677,0.8357461,0.39262299999995776
24,1618.6523,420,1621.199607,0.7261286,-2.547307000000046
25,1618.6523,1269,1625.717145,0.82982606,-7.064845000000105
26,1545.4102,916,1621.519441,0.76210165,-76.10924099999988
27,1618.6523,823,1621.943174,0.71581346,-3.2908740000000307
28,1618.6523,1197,1618.213344,0.7698418,0.43895599999996193
29,1618.6523,1146,1622.938779,0.8579563,-4.286479000000099
30,1618.6523,2606,1626.259533,0.85869944,-7.607232999999951
31,1618.6523,2817,1623.555791,0.8956375,-4.903491000000031
32,1618.6523,2200,1625.750947,0.86797863,-7.098647000000028
33,1545.4102,787,1622.772004,0.6892279,-77.36180399999989
34,1618.6523,1473,1622.190985,0.868082,-3.5386849999999868
35,1618.6523,1383,1626.292217,0.7513416,-7.6399169999999685
36,1618.6523,2893,1626.137048,0.7803583,-7.4847480000000814
37,1615.7227,2327,1626.097139,0.6784369,-10.374438999999938
38,1618.6509,2464,1619.826032,0.8621083,-1.1751319999998486
39,1618.6523,2569,1620.832862,0.8130673,-2.180562000000009
40,1545.4102,1392,1625.902753,0.6762877,-80.49255300000004
41,1618.6523,154,1618.202353,0.85307324,0.4499470000000656
42,1618.6523,2739,1620.833667,0.850244,-2.1813670000001366
43,1618.6523,53,1626.127423,0.7861693,-7.47512299999994
44,1545.4102,978,1623.669826,0.7216189,-78.25962600000003
45,1618.6523,1169,1621.618018,0.776967,-2.9657179999999244
46,1618.6523,311,1626.458709,0.9066218,-7.806409000000031
47,1618.6523,939,1625.401352,0.7425642,-6.74905200000012
48,1618.6523,2765,1626.421499,0.7819808,-7.7691990000000715
49,1618.6523,1860,1620.830985,0.79591036,-2.178685000000087
50,1618.6523,906,1618.797212,0.8162053,-0.14491199999997662
51,1618.6523,2555,1622.788061,0.8540873,-4.135761000000002
52,1618.6523,2191,1621.15413,0.85284233,-2.501829999999927
53,1618.6523,757,1623.037378,0.84560496,-4.385078000000021
54,1618.6523,510,1621.980177,0.8067432,-3.327876999999944
55,1545.4102,2422,1621.113329,0.65474856,-75.70312899999999
56,1618.6523,2415,1624.522084,0.85809994,-5.8697839999999815
57,1618.6523,2153,1620.861632,0.7095188,-2.2093320000001313
58,1618.6523,1781,1625.255747,0.7200677,-6.60344699999996
59,1618.6509,121,1626.414819,0.8433548,-7.763918999999987
60,1618.6523,2160,1624.341717,0.8022028,-5.689417000000049
61,1618.6523,997,1626.406722,0.7293679,-7.754421999999977
62,1618.6523,813,1625.785729,0.8785538,-7.133428999999978
63,1618.6523,145,1623.101293,0.7534348,-4.448992999999973
64,1618.6523,1532,1545.989086,0.77858555,72.66321399999993
65,1618.6509,2566,1620.107613,0.78262514,-1.4567129999998087
66,1618.6523,1434,1620.422755,0.9000583,-1.7704550000000836
67,1618.6523,992,1619.617218,0.7342613,-0.9649180000001252
68,1618.6509,562,1620.288187,0.86765677,-1.6372870000000148
69,1618.6523,1721,1619.956291,0.7210576,-1.3039909999999963
70,1618.6523,496,1620.241473,0.9105279,-1.5891730000000734
71,1545.4102,662,1620.656965,0.77790564,-75.24676499999987
72,1618.6523,2287,1619.204442,0.91168773,-0.5521420000000035
73,1618.6523,1372,1624.922076,0.8834253,-6.269776000000093
74,1618.6523,1283,1624.781694,0.73186016,-6.1293940000000475
75,1618.6523,2372,1624.777369,0.8382463,-6.1250689999999395
76,1618.6523,234,1626.420124,0.9239242,-7.767824000000019
77,1618.6523,2158,1618.309842,0.726342,0.34245800000007875
78,1618.6523,2254,1622.63878,0.7863137,-3.9864800000000287
79,1618.6523,2230,1621.405946,0.8628875,-2.753646000000117
80,1618.6523,2690,1619.567871,0.8788011,-0.9155709999999999
81,1618.6523,583,1620.908249,0.8816147,-2.2559490000001006
82,1618.6523,888,1622.382497,0.85261154,-3.7301970000000892
83,1618.6509,2113,1621.912316,0.81724954,-3.2614159999998265
84,1618.6523,1410,1623.601204,0.70881116,-4.948904000000084
85,1618.6523,599,1620.041057,0.85221267,-1.3887569999999414
86,1618.6509,2579,1621.138531,0.8822066,-2.487630999999965
87,1618.6523,2423,1626.425106,0.9333441,-7.772805999999946
88,1618.6523,2683,1622.406959,0.7942317,-3.754658999999947
89,1618.6523,79,1620.667459,0.80283076,-2.0151590000000397
90,1615.7227,1148,1625.760539,0.8935455,-10.037839000000076
91,1618.6523,1199,1620.297446,0.9415887,-1.645146000000068
92,1618.6523,2937,1621.914304,0.9317073,-3.2620039999999335
93,1618.6523,40,1619.16856,0.77747345,-0.5162600000001021
94,1618.6523,679,1619.530837,0.8967103,-0.8785370000000512
95,1618.6509,2671,1622.667004,0.7726538,-4.016103999999814
96,1618.6523,226,1625.544461,0.77385664,-6.892160999999987
