mid_idx,mid_freq,fine_idx,fine_freq,cosine
10,1618.6523,2760,1619.633269,0.98453933
11,1618.6523,2836,1623.071607,0.9847138
45,1618.6523,1502,1624.4111,0.9878757
67,1618.6523,722,1622.913052,0.9865752
166,1624.5117,1477,1615.682049,0.97081244
172,1545.4102,1386,1623.254674,0.8899907
176,1618.6523,1467,1625.256845,0.9226106
185,1627.4414,1972,1625.220587,0.9582345
189,1545.4102,28,1622.089843,0.96929747
190,1612.793,1428,1623.362924,0.97098726
193,1545.4102,1546,1623.239301,0.9175598
195,1627.4414,2989,1545.061519,0.9384684
207,1545.4102,2817,1623.555791,0.98833215
208,1545.4102,1469,1619.220961,0.8734822
221,1545.4102,2004,1623.846606,0.93211055
225,1624.5117,2533,1619.122298,0.9807497
228,1618.6523,1128,1616.325377,0.7902601
255,1627.4414,2186,1545.017017,0.9495616
259,1624.5103,2483,1618.268914,0.82358146
264,1615.7212,2272,1620.617816,0.9723257
267,1545.4102,408,1624.012191,0.93973833
275,1545.4102,2326,1624.748209,0.9398678
286,1545.4102,1345,1621.194824,0.9465049
299,1624.5103,547,1618.673109,0.8483684
311,1618.6523,2922,1621.660799,0.99812025
317,1624.5117,2041,1618.280687,0.9761612
321,1627.4414,593,1545.885497,0.9792297
327,1615.7227,1772,1624.048434,0.92791504
345,1627.4414,1689,1545.196753,0.95223635
355,1545.4102,1752,1623.053444,0.9433796
373,1627.44,2684,1626.137942,0.9608116
397,1624.5117,1724,1618.404178,0.9058456
398,1624.5117,1549,1622.230369,0.9062832
421,1618.6509,1071,1618.180478,0.94717926
422,1618.6523,1928,1625.213784,0.96364665
430,1621.582,1675,1615.497761,0.8254555
451,1627.4414,295,1626.112034,0.9843767
455,1621.582,1679,1620.159969,0.96630615
459,1621.582,544,1615.972225,0.982753
474,1621.582,1340,1619.118853,0.93902946
480,1618.6523,1228,1616.463228,0.91763616
482,1621.582,708,1615.95258,0.9726942
497,1624.5103,1192,1626.121711,0.9740977
498,1624.5117,981,1623.540753,0.7912767
514,1624.5117,607,1618.536986,0.80397475
544,1624.5117,1471,1616.193191,0.9601216
546,1627.4414,1793,1545.916701,0.9675175
552,1624.5117,1871,1616.886171,0.80121595
565,1627.4414,52,1626.107745,0.9486658
566,1545.4102,1531,1621.983016,0.913621
578,1621.582,1616,1615.459003,0.9768721
615,1624.5117,2547,1624.854717,0.98538065
616,1624.5103,2840,1619.291475,0.9718252
620,1545.4102,2587,1624.089626,0.90826714
622,1624.5117,1791,1618.01489,0.96451545
623,1618.6523,2437,1618.490157,0.9545418
631,1618.6523,871,1626.247616,0.8977672
639,1621.582,2603,1625.613361,0.82865137
641,1627.4414,2046,1626.074034,0.9869667
648,1624.5117,1276,1623.83733,0.9881242
661,1624.5117,1017,1619.487117,0.95217144
688,1627.4414,356,1545.885692,0.96199054
708,1627.4414,2717,1622.797319,0.97089016
724,1627.4414,2532,1622.315305,0.9541252
740,1545.4102,309,1618.384081,0.90492874
741,1627.4414,2526,1620.97788,0.94035184
749,1624.5117,2961,1621.483876,0.9747919
754,1624.5117,2224,1623.017172,0.8609539
782,1545.4102,2803,1625.133363,0.963296
817,1627.4414,47,1626.137573,0.9788029
819,1624.5117,740,1624.994776,0.9367048
821,1624.5103,533,1626.994849,0.9688896
825,1627.4414,2263,1626.073642,0.95955694
828,1545.4102,525,1622.1637,0.89015234
838,1627.4414,2364,1626.116842,0.95961815
846,1545.4102,2321,1618.319727,0.97117406
858,1627.4414,2087,1626.130035,0.925342
859,1627.4414,2346,1545.02149,0.96283746
865,1624.5117,2856,1623.028499,0.94336945
873,1624.5117,1706,1625.904609,0.9808152
877,1627.4414,319,1620.5144,0.9720485
882,1624.5117,516,1618.025851,0.988224
885,1624.5117,918,1619.727245,0.90977407
888,1627.4414,1113,1545.111625,0.9607943
898,1627.4414,736,1623.55607,0.9652959
901,1624.5117,1680,1625.922446,0.96898884
904,1627.4414,1311,1623.557371,0.9507664
907,1545.4102,1223,1623.044405,0.95475805
916,1624.5117,32,1625.830642,0.9826075
938,1545.4102,2427,1619.983264,0.97841537
952,1621.582,2577,1619.015205,0.9688104
954,1618.6523,2936,1622.088323,0.9760125
956,1621.582,118,1545.626267,0.905106
965,1545.4102,500,1620.803218,0.96339667
968,1627.4414,1059,1545.02641,0.958651
978,1627.44,283,1545.206451,0.97299963
979,1618.6523,1179,1621.413365,0.9498702
984,1545.4087,2500,1618.15799,0.97417337
993,1621.582,699,1622.104746,0.96307635
999,1545.4102,1321,1618.379893,0.9787434
1010,1621.582,2165,1624.02908,0.92718804
1012,1624.5117,812,1618.136315,0.9576758
1013,1624.5103,889,1615.937116,0.7922223
1021,1618.6523,280,1624.005686,0.870782
1045,1618.6523,1156,1625.684903,0.90410674
1055,1618.6523,1486,1622.020315,0.9022309
1056,1627.4414,541,1626.119563,0.9422811
1084,1627.4414,1463,1626.115951,0.957058
1095,1624.5117,10,1545.980953,0.9398796
