epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.554,1.24489,4.62174,0.78892,0.06259,0.04908,0.01196,0.0046,2.29705,2.73319,1.3983,0.00333229,0.00333229,0.00333229
2,1221.87,1.25211,1.59902,0.80309,0.00586,0.27615,0.01066,0.00469,2.41516,3.05434,1.46791,0.00659964,0.00659964,0.00659964
3,1789.25,1.32921,1.69313,0.86102,0.00427,0.31904,0.00709,0.00204,2.46125,2.7675,1.61334,0.00980098,0.00980098,0.00980098
4,2289.69,1.34308,1.60734,0.92467,0.00561,0.38385,0.01431,0.00509,2.38657,2.61194,1.52644,0.009703,0.009703,0.009703
5,2673.59,1.24845,1.46977,0.83934,0.00479,0.37336,0.01829,0.00632,2.17326,2.54774,1.51325,0.009604,0.009604,0.009604
6,3024.68,1.21906,1.40156,0.8246,0.00658,0.45556,0.0227,0.0072,2.15201,2.40032,1.42898,0.009505,0.009505,0.009505
7,3375,1.20073,1.36593,0.79484,0.00714,0.48487,0.03231,0.01035,2.16831,2.29038,1.39773,0.009406,0.009406,0.009406
8,3723.96,1.15172,1.31821,0.76852,0.02943,0.15606,0.02616,0.00707,2.10071,2.28133,1.33627,0.009307,0.009307,0.009307
9,4069.5,1.12935,1.30847,0.74025,0.05546,0.13224,0.03784,0.01353,2.0494,2.16092,1.31717,0.009208,0.009208,0.009208
10,4416.68,1.10214,1.25935,0.73526,0.04884,0.16131,0.02784,0.01108,1.97929,2.14094,1.2691,0.009109,0.009109,0.009109
11,4760.53,1.10189,1.24992,0.72409,0.08982,0.12009,0.04197,0.01762,1.95626,2.08757,1.25628,0.00901,0.00901,0.00901
12,5108.73,1.07732,1.22066,0.71338,0.08701,0.11866,0.03754,0.01579,1.96029,2.0791,1.25925,0.008911,0.008911,0.008911
13,5452.93,1.06059,1.18871,0.70365,0.14368,0.10974,0.05399,0.02508,1.93001,1.99023,1.22795,0.008812,0.008812,0.008812
14,5800.76,1.04777,1.16101,0.69216,0.14484,0.11198,0.05807,0.02477,1.91982,1.99331,1.2335,0.008713,0.008713,0.008713
15,6146.19,1.03578,1.15302,0.68644,0.1669,0.1158,0.06602,0.02885,1.89686,1.96387,1.21907,0.008614,0.008614,0.008614
