epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,790.082,0.11382,4.16019,0.06115,0,0,0,0,0.37818,0.63013,0.20156,0.00333263,0.00333263,0.00333263
2,1537.9,0.09375,0.18817,0.05562,0,0,0,0,0.16866,0.25245,0.13483,0.00659997,0.00659997,0.00659997
3,2259.99,0.05394,0.11248,0.04181,0,0,0,0,0.11898,0.181,0.10664,0.00980131,0.00980131,0.00980131
4,2978.46,0.00218,0.00332,0.00227,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,3703.07,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,4429.26,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,5155.43,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,5878.29,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,6606.12,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,7330.53,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,8050.38,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,8772.32,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,9500.51,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,10223,0,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,10948.3,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,11668.1,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,12409.3,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,13150.6,0,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,13881.8,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,14609.6,0,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,15330.3,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,16053,0,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,16771.3,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,17489.1,0,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,18207.5,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,18935.2,0,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,19655.7,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,20385.3,0,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,21120.8,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,21854.4,0,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,22595.1,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,23346.1,0,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
