epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1797,4.73578,248.319,3.39602,5e-05,0.00802,3e-05,1e-05,3.7875,16.7916,2.57058,0.00028,0.00028,0.00028
2,27.231,4.17596,57.7432,2.3584,8e-05,0.01337,4e-05,2e-05,3.97291,21.3402,2.47712,0.000574258,0.000574258,0.000574258
3,44.1454,4.08974,59.8857,2.11246,2e-05,0.00267,1e-05,0,4.30619,12.9825,2.2989,0.000862576,0.000862576,0.000862576
4,51.7239,3.97395,36.5867,2.06186,3e-05,0.00535,2e-05,1e-05,3.6838,20.3182,3.82239,0.00114495,0.00114495,0.00114495
5,59.7462,3.92035,27.1677,2.08409,3e-05,0.00535,2e-05,0,5.47089,47.0181,8.13141,0.00142139,0.00142139,0.00142139
6,67.8701,4.02031,26.8545,2.29074,0,0,0,0,3.09058,13.8127,24.7797,0.00169189,0.00169189,0.00169189
7,75.6481,4.29541,18.4404,2.29446,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,82.961,4.04611,12.9178,2.11221,0,0,0,0,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,91.1956,4.17919,10.9404,2.10993,0,0,0,0,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,98.6239,3.95802,7.57004,2.05019,0,0,0,0,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,111.827,4.0981,8.50015,1.99651,0.03992,0.04545,0.0095,0.00365,4.18703,11.7377,2.1569,0.001802,0.001802,0.001802
12,118.782,4.03052,6.4242,2.09866,7e-05,0.00535,2e-05,0,5.61326,inf,8.55044,0.0017822,0.0017822,0.0017822
13,128.656,3.75218,5.34233,1.92082,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,144.29,3.99869,5.62919,2.00459,0.19466,0.02674,0.0073,0.00186,4.67413,40.4828,2.26458,0.0017426,0.0017426,0.0017426
15,156.457,4.06719,5.19768,1.88687,0.26316,0.06417,0.04484,0.01798,4.30511,4.22791,2.11141,0.0017228,0.0017228,0.0017228
