epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3235,3.06124,2.55283,1.70712,0.57275,0.17548,0.05871,0.02586,2.87513,2.57426,0.9374,0.000553389,0.000553389,0.000553389
2,171.937,2.03367,2.02856,0.97218,0.59545,0.16869,0.07954,0.0375,2.65438,2.80968,0.71734,0.0010871,0.0010871,0.0010871
3,244.402,1.94624,2.0026,0.8315,0.15731,0.27487,0.1038,0.05015,2.42972,2.17149,0.68313,0.0015988,0.0015988,0.0015988
4,322.471,1.883,2.01578,0.76937,0.13594,0.24557,0.09829,0.05061,2.37464,2.17468,0.59922,0.00156798,0.00156798,0.00156798
5,388.817,1.82566,1.98254,0.73659,0.10488,0.24652,0.10599,0.05217,2.50285,2.38865,0.56953,0.00153497,0.00153497,0.00153497
6,464.922,1.79456,1.97402,0.73744,0.22318,0.25131,0.09847,0.04975,2.50703,2.24404,0.61181,0.00150197,0.00150197,0.00150197
7,531.16,1.75798,1.98607,0.70558,0.20595,0.24951,0.09769,0.05059,2.4684,2.19969,0.56219,0.00146896,0.00146896,0.00146896
8,608.717,1.7,1.98654,0.70486,0.13314,0.3039,0.1004,0.05222,2.47901,2.17951,0.55462,0.00143595,0.00143595,0.00143595
9,679.495,1.70066,1.96669,0.69708,0.20782,0.24066,0.10248,0.05302,2.44085,2.54908,0.54415,0.00140295,0.00140295,0.00140295
10,753.493,1.70521,1.96562,0.69967,0.29948,0.23586,0.0906,0.04584,2.46247,2.13355,0.55549,0.00136994,0.00136994,0.00136994
11,824.994,1.69974,1.96802,0.69413,0.20213,0.25507,0.09573,0.04622,2.40651,2.20989,0.55465,0.00133693,0.00133693,0.00133693
12,898.233,1.67857,1.94575,0.68856,0.15577,0.29562,0.09122,0.04627,2.38461,2.17563,0.55266,0.00130393,0.00130393,0.00130393
13,977.86,1.6707,1.94929,0.68994,0.15151,0.26614,0.09445,0.04533,2.43535,2.09767,0.54027,0.00127092,0.00127092,0.00127092
14,1063.13,1.68431,1.92656,0.68133,0.25835,0.2958,0.10305,0.05072,2.38667,2.17846,0.53782,0.00123791,0.00123791,0.00123791
15,1134.43,1.67633,1.94303,0.67907,0.20456,0.26414,0.10455,0.05002,2.3207,2.10888,0.53972,0.00120491,0.00120491,0.00120491
16,1216.06,1.67472,1.93279,0.68049,0.19707,0.23501,0.1012,0.05054,2.39674,2.09884,0.5354,0.0011719,0.0011719,0.0011719
17,1290.64,1.67455,1.92684,0.67677,0.24893,0.20878,0.10854,0.05208,2.37882,2.16962,0.53786,0.00113889,0.00113889,0.00113889
18,1375.4,1.66094,1.92524,0.67815,0.16374,0.26123,0.11811,0.05471,2.37155,2.1002,0.53177,0.00110589,0.00110589,0.00110589
19,1454.37,1.6506,1.93664,0.67812,0.1491,0.25718,0.09637,0.04314,2.36122,2.20187,0.5414,0.00107288,0.00107288,0.00107288
20,1528.78,1.66415,1.91861,0.67711,0.16373,0.29969,0.10769,0.04939,2.40148,2.10285,0.535,0.00103987,0.00103987,0.00103987
21,1613.57,1.64985,1.91109,0.67808,0.20803,0.26052,0.10372,0.05047,2.39412,2.10155,0.53746,0.00100687,0.00100687,0.00100687
22,1690.96,1.64242,1.90534,0.67492,0.18428,0.28749,0.11087,0.04967,2.32611,2.11351,0.53544,0.000973861,0.000973861,0.000973861
23,1770.83,1.6492,1.8932,0.67239,0.18181,0.30009,0.10594,0.0482,2.35589,2.09228,0.52942,0.000940855,0.000940855,0.000940855
24,1846.43,1.64243,1.89808,0.67088,0.1786,0.31894,0.11438,0.04976,2.35886,2.14641,0.52954,0.000907848,0.000907848,0.000907848
25,1925.33,1.63903,1.89588,0.67271,0.18362,0.31457,0.10705,0.05075,2.38056,2.11262,0.53915,0.000874842,0.000874842,0.000874842
26,2010.3,1.64684,1.89716,0.67074,0.2366,0.25749,0.11602,0.05351,2.40811,2.07927,0.52751,0.000841835,0.000841835,0.000841835
27,2088.35,1.63935,1.88099,0.67057,0.2549,0.27155,0.10796,0.05142,2.37455,2.09141,0.52626,0.000808828,0.000808828,0.000808828
28,2169.72,1.62186,1.88788,0.67341,0.2156,0.3089,0.10311,0.04769,2.30207,2.10576,0.52908,0.000775822,0.000775822,0.000775822
