epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1469,0,89.3494,0,0,0,0,0,0,114.598,0,0.000654762,0.000654762,0.000654762
2,22.4314,0,59.8056,0,0,0,0,0,0,60.2009,0,0.00129526,0.00129526,0.00129526
3,32.4181,0,42.6596,0,0,0,0,0,0,17.0513,0,0.00190937,0.00190937,0.00190937
4,42.2315,0,29.1845,0,0,0,0,0,0,15.9933,0,0.0018812,0.0018812,0.0018812
5,52.2418,0,18.5188,0,0,0,0,0,0,7.53571,0,0.0018416,0.0018416,0.0018416
6,61.9935,0,11.2342,0,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,71.4045,0,6.5717,0,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,80.7362,0,3.70909,0,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,90.1087,0,2.0564,0,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,99.5471,0,1.08207,0,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,108.911,0,0.56239,0,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,118.302,0,0.28381,0,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,127.678,0,0.13639,0,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,137.104,0,0.06494,0,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,146.474,0,0.02068,0,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,155.822,0,0.01533,0,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,165.117,0,0.00831,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,174.403,0,0.00272,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,183.739,0,0.00249,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,193.29,0,0.00248,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,202.607,0,0.00248,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,211.961,0,0.00247,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,221.318,0,0.00245,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,230.749,0,0.00236,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,240.138,0,0.0022,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,249.57,0,0.00159,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,258.937,0,0.00081,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,268.397,0,0.00032,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,277.748,0,0.00017,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,287.117,0,4e-05,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,296.462,0,1e-05,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,305.788,0,1e-05,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,315.157,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,324.679,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,334.056,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,343.65,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,353.153,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,362.501,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,371.989,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,381.442,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,391.511,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,400.285,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,408.772,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,417.386,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,425.968,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,434.57,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,443.207,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,451.834,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,460.539,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,469.353,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
