epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6125,1.92009,1.44098,0.31313,0.2723,0.4097,0.2259,0.09066,1.7484,1.4315,0.31239,0.000397872,0.000397872,0.000397872
2,64.3573,1.57893,1.1282,0.28508,0.33884,0.44257,0.27568,0.12392,1.90839,1.47383,0.35282,0.000789973,0.000789973,0.000789973
3,96.6888,1.52306,1.06003,0.28197,0.34682,0.46206,0.30091,0.13964,1.69177,1.13171,0.28175,0.00117415,0.00117415,0.00117415
4,127.866,1.45726,1.01766,0.27524,0.42622,0.47239,0.3937,0.21381,1.45538,1.03628,0.27278,0.00155042,0.00155042,0.00155042
5,158.761,1.45357,1.00981,0.27384,0.39909,0.43569,0.33837,0.15975,1.67226,1.16589,0.30113,0.00191876,0.00191876,0.00191876
6,189.292,1.42674,0.99121,0.27252,0.33876,0.47171,0.31874,0.16796,1.59743,1.17842,0.29325,0.001901,0.001901,0.001901
7,220.928,1.39579,0.96991,0.2703,0.4089,0.46334,0.36148,0.17292,1.56977,1.06924,0.27759,0.0018812,0.0018812,0.0018812
8,251.053,1.35719,0.94306,0.26411,0.42224,0.47909,0.37024,0.19674,1.39125,1.05478,0.27244,0.0018614,0.0018614,0.0018614
9,281.195,1.32233,0.92637,0.2619,0.45804,0.50212,0.4179,0.22791,1.37192,0.98188,0.26257,0.0018416,0.0018416,0.0018416
10,311.751,1.30078,0.91118,0.25907,0.43624,0.48686,0.40551,0.21142,1.47506,1.00096,0.26642,0.0018218,0.0018218,0.0018218
11,341.722,1.28475,0.90271,0.25837,0.5309,0.53062,0.49766,0.29496,1.25866,0.89235,0.25161,0.001802,0.001802,0.001802
12,372.025,1.27689,0.89719,0.25744,0.48136,0.52111,0.46053,0.26268,1.34078,0.93001,0.25413,0.0017822,0.0017822,0.0017822
13,402.11,1.25943,0.88089,0.25584,0.51791,0.53548,0.49476,0.29895,1.2266,0.87922,0.25082,0.0017624,0.0017624,0.0017624
14,432.356,1.23147,0.872,0.25378,0.50459,0.52485,0.4824,0.27355,1.30956,0.9026,0.25225,0.0017426,0.0017426,0.0017426
15,462.45,1.2235,0.86759,0.2538,0.55058,0.54345,0.52991,0.31594,1.20157,0.86101,0.24526,0.0017228,0.0017228,0.0017228
16,492.541,1.21759,0.85694,0.25276,0.53987,0.5337,0.5078,0.30195,1.23689,0.87094,0.25197,0.001703,0.001703,0.001703
17,522.513,1.20421,0.85001,0.25115,0.50733,0.52192,0.47135,0.26457,1.29005,0.9072,0.25187,0.0016832,0.0016832,0.0016832
18,552.227,1.20024,0.8486,0.25179,0.52399,0.52272,0.49396,0.28704,1.29353,0.89507,0.25111,0.0016634,0.0016634,0.0016634
19,581.96,1.18521,0.83452,0.24967,0.55811,0.53387,0.53436,0.3186,1.25718,0.85695,0.24753,0.0016436,0.0016436,0.0016436
20,611.974,1.18783,0.83058,0.24963,0.51736,0.53044,0.50682,0.30178,1.24481,0.86297,0.24758,0.0016238,0.0016238,0.0016238
21,641.968,1.17249,0.8284,0.2482,0.54412,0.54316,0.52449,0.30622,1.21918,0.8585,0.24421,0.001604,0.001604,0.001604
22,671.838,1.16732,0.82312,0.24879,0.46182,0.52839,0.45225,0.26035,1.23753,0.92924,0.24907,0.0015842,0.0015842,0.0015842
23,703.051,1.15472,0.81581,0.24744,0.55035,0.53046,0.52776,0.3198,1.18438,0.85342,0.24978,0.0015644,0.0015644,0.0015644
24,733.009,1.14486,0.80938,0.24505,0.54413,0.5582,0.5447,0.32699,1.19892,0.82683,0.24209,0.0015446,0.0015446,0.0015446
25,762.961,1.1386,0.803,0.24569,0.55569,0.54975,0.54237,0.31543,1.27285,0.84002,0.24518,0.0015248,0.0015248,0.0015248
26,792.911,1.13099,0.79732,0.24632,0.56591,0.53167,0.53221,0.32427,1.21009,0.85236,0.24947,0.001505,0.001505,0.001505
27,822.78,1.12264,0.79752,0.24449,0.53314,0.54833,0.52188,0.30842,1.19589,0.84738,0.24259,0.0014852,0.0014852,0.0014852
28,852.612,1.11512,0.79156,0.24258,0.56855,0.56363,0.5552,0.3471,1.14314,0.80971,0.24175,0.0014654,0.0014654,0.0014654
29,882.653,1.12678,0.79314,0.24422,0.56495,0.542,0.54776,0.336,1.17787,0.83133,0.24266,0.0014456,0.0014456,0.0014456
30,912.628,1.11529,0.78523,0.24367,0.59765,0.56825,0.58568,0.3758,1.10249,0.78448,0.23915,0.0014258,0.0014258,0.0014258
31,942.718,1.10176,0.7795,0.24235,0.57476,0.56055,0.57168,0.36125,1.10367,0.8024,0.23596,0.001406,0.001406,0.001406
32,972.755,1.09796,0.78076,0.24176,0.5802,0.57258,0.57814,0.36512,1.10391,0.78651,0.23559,0.0013862,0.0013862,0.0013862
33,1002.65,1.0997,0.77666,0.24229,0.55299,0.56126,0.54765,0.34076,1.15756,0.81718,0.24136,0.0013664,0.0013664,0.0013664
34,1032.55,1.0951,0.77421,0.24102,0.59457,0.56778,0.58197,0.36763,1.10728,0.78656,0.23626,0.0013466,0.0013466,0.0013466
35,1062.61,1.08236,0.76508,0.23995,0.59764,0.56792,0.58859,0.3794,1.08577,0.77238,0.2358,0.0013268,0.0013268,0.0013268
36,1092.64,1.08587,0.76212,0.2397,0.59045,0.56195,0.5863,0.37599,1.10337,0.77421,0.23637,0.001307,0.001307,0.001307
