epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7488,1.91006,1.39532,0.31239,0.29904,0.41581,0.24298,0.11095,1.71048,1.67522,0.29061,0.000397872,0.000397872,0.000397872
2,60.5183,1.58658,1.13608,0.28384,0.24657,0.3415,0.2097,0.09144,1.94786,1.53068,0.33451,0.000789973,0.000789973,0.000789973
3,89.9548,1.51488,1.06807,0.27943,0.41299,0.47525,0.37705,0.18493,1.59864,1.09037,0.27916,0.00117415,0.00117415,0.00117415
4,119.59,1.45288,1.02752,0.27444,0.37821,0.42629,0.31852,0.15394,1.61368,1.11839,0.2846,0.00155042,0.00155042,0.00155042
5,149.165,1.43846,1.01507,0.27405,0.39344,0.47902,0.35674,0.16617,1.7431,1.06945,0.28746,0.00191876,0.00191876,0.00191876
6,178.916,1.41888,0.99739,0.27234,0.36845,0.44818,0.32499,0.15799,1.63335,1.10406,0.2795,0.001901,0.001901,0.001901
7,208.763,1.37668,0.97072,0.26924,0.42858,0.46905,0.3953,0.18922,1.63217,1.02021,0.27712,0.0018812,0.0018812,0.0018812
8,239.116,1.34813,0.95686,0.26588,0.44436,0.49375,0.38661,0.20856,1.37403,1.01669,0.26309,0.0018614,0.0018614,0.0018614
9,269.158,1.32033,0.93716,0.26218,0.41213,0.48068,0.36164,0.18188,1.48771,1.02972,0.26479,0.0018416,0.0018416,0.0018416
10,299.669,1.29991,0.92102,0.26089,0.4745,0.49109,0.43774,0.22391,1.48137,0.98538,0.26171,0.0018218,0.0018218,0.0018218
11,329.487,1.27975,0.90823,0.25825,0.46811,0.51481,0.43792,0.24757,1.2799,0.96186,0.25674,0.001802,0.001802,0.001802
12,359.497,1.27349,0.9024,0.25792,0.4009,0.45625,0.37163,0.1894,1.49008,1.03977,0.26665,0.0017822,0.0017822,0.0017822
13,389.011,1.25892,0.89336,0.25644,0.49398,0.50241,0.4775,0.27616,1.31481,0.92552,0.25422,0.0017624,0.0017624,0.0017624
14,418.916,1.23909,0.88227,0.25528,0.44853,0.48529,0.41128,0.21788,1.4372,0.98189,0.26103,0.0017426,0.0017426,0.0017426
15,448.769,1.22972,0.87897,0.25499,0.48112,0.5028,0.45908,0.23956,1.47177,0.9389,0.25938,0.0017228,0.0017228,0.0017228
16,478.642,1.21618,0.8661,0.25278,0.48331,0.5153,0.46749,0.25923,1.35206,0.91312,0.25547,0.001703,0.001703,0.001703
17,508.319,1.20344,0.85997,0.25204,0.39552,0.43726,0.34481,0.17099,1.52048,1.06948,0.26429,0.0016832,0.0016832,0.0016832
18,538.844,1.20112,0.85518,0.25236,0.48741,0.50898,0.46526,0.26039,1.3892,0.90921,0.25422,0.0016634,0.0016634,0.0016634
19,569.508,1.1843,0.84965,0.2496,0.4672,0.49542,0.43386,0.23507,1.35123,0.95585,0.25047,0.0016436,0.0016436,0.0016436
20,599.077,1.18051,0.84239,0.24839,0.45042,0.48883,0.42686,0.22756,1.44477,0.95807,0.25903,0.0016238,0.0016238,0.0016238
21,628.735,1.17597,0.84019,0.24924,0.49278,0.48627,0.44687,0.24436,1.33058,0.94663,0.25499,0.001604,0.001604,0.001604
