epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.582,2.03421,1.51308,0.31942,0.33798,0.28228,0.19899,0.08716,1.79166,1.46012,0.30908,0.00039633,0.00039633,0.00039633
2,32.684,1.62786,1.16524,0.28125,0.13707,0.12097,0.06038,0.0163,2.7084,1.87028,0.4019,0.000788447,0.000788447,0.000788447
3,47.4557,1.58012,1.08786,0.28003,0.37696,0.45496,0.33514,0.1482,1.76427,1.1564,0.28343,0.00117264,0.00117264,0.00117264
4,62.2835,1.49451,1.03523,0.2716,0.41103,0.44781,0.35129,0.15331,1.78752,1.14947,0.2826,0.00154892,0.00154892,0.00154892
5,77.2094,1.49742,1.02134,0.27256,0.38787,0.4595,0.3254,0.14875,1.64131,1.12113,0.27755,0.00191728,0.00191728,0.00191728
6,91.903,1.48868,1.00255,0.27138,0.43326,0.54832,0.40915,0.21309,1.39506,1.01763,0.27033,0.001901,0.001901,0.001901
7,106.625,1.46557,0.98608,0.2707,0.36749,0.41354,0.29957,0.1105,2.10598,1.11627,0.30212,0.0018812,0.0018812,0.0018812
8,121.427,1.38788,0.94866,0.26398,0.4366,0.49441,0.36858,0.19039,1.45982,1.07106,0.262,0.0018614,0.0018614,0.0018614
9,136.145,1.3791,0.94992,0.26285,0.42971,0.47798,0.39981,0.19913,1.57962,1.05516,0.27762,0.0018416,0.0018416,0.0018416
10,150.785,1.3484,0.92911,0.26123,0.50214,0.51125,0.46713,0.25135,1.46674,0.93958,0.25698,0.0018218,0.0018218,0.0018218
11,165.642,1.34083,0.91499,0.26022,0.43859,0.53649,0.40704,0.22404,1.36982,0.99532,0.25239,0.001802,0.001802,0.001802
12,180.384,1.33058,0.9006,0.25767,0.52721,0.54032,0.50088,0.29545,1.24281,0.89429,0.24681,0.0017822,0.0017822,0.0017822
13,195.141,1.29132,0.90018,0.25463,0.53691,0.55424,0.51879,0.28394,1.40638,0.88192,0.25703,0.0017624,0.0017624,0.0017624
14,209.704,1.28066,0.88106,0.25464,0.50256,0.54569,0.48445,0.24833,1.53565,0.91102,0.25335,0.0017426,0.0017426,0.0017426
15,224.089,1.25345,0.87216,0.25264,0.50152,0.53314,0.4588,0.2689,1.24828,0.92846,0.2535,0.0017228,0.0017228,0.0017228
16,238.736,1.25957,0.87881,0.2524,0.53699,0.58383,0.53593,0.30872,1.35804,0.85363,0.25041,0.001703,0.001703,0.001703
17,253.388,1.24429,0.85977,0.25079,0.48085,0.57462,0.46351,0.26656,1.31671,0.91055,0.24809,0.0016832,0.0016832,0.0016832
18,267.953,1.21938,0.85086,0.24959,0.55056,0.59698,0.54783,0.32665,1.2265,0.83951,0.24382,0.0016634,0.0016634,0.0016634
19,282.661,1.21177,0.8435,0.24734,0.594,0.59566,0.57637,0.34482,1.23117,0.81176,0.24263,0.0016436,0.0016436,0.0016436
20,297.407,1.21182,0.84124,0.24824,0.55274,0.56607,0.52997,0.30029,1.38196,0.87094,0.25145,0.0016238,0.0016238,0.0016238
21,312.019,1.20191,0.83271,0.24853,0.57139,0.54964,0.54855,0.31817,1.3287,0.84554,0.24333,0.001604,0.001604,0.001604
22,326.501,1.1905,0.82931,0.24526,0.61638,0.57988,0.60048,0.37825,1.18112,0.77894,0.23779,0.0015842,0.0015842,0.0015842
23,341.04,1.18,0.81614,0.24509,0.59558,0.56805,0.5764,0.36344,1.15257,0.80038,0.23507,0.0015644,0.0015644,0.0015644
24,355.836,1.17187,0.82131,0.24339,0.5721,0.59961,0.56731,0.34767,1.22096,0.80087,0.23833,0.0015446,0.0015446,0.0015446
25,370.378,1.15732,0.81304,0.24533,0.57822,0.59486,0.58466,0.36108,1.18163,0.80085,0.23788,0.0015248,0.0015248,0.0015248
26,384.859,1.15493,0.81012,0.24252,0.62122,0.53057,0.56925,0.35203,1.19364,0.81582,0.24077,0.001505,0.001505,0.001505
27,399.312,1.14773,0.80744,0.24264,0.57008,0.59303,0.57692,0.36916,1.09325,0.78421,0.23451,0.0014852,0.0014852,0.0014852
28,413.804,1.15434,0.80576,0.24225,0.58479,0.57462,0.57743,0.35641,1.15196,0.8029,0.23575,0.0014654,0.0014654,0.0014654
29,428.262,1.15074,0.79492,0.24269,0.57544,0.56279,0.5606,0.35448,1.15761,0.81874,0.23994,0.0014456,0.0014456,0.0014456
30,442.794,1.13251,0.79302,0.24207,0.562,0.58646,0.56874,0.34265,1.22278,0.80027,0.23467,0.0014258,0.0014258,0.0014258
31,457.385,1.12857,0.78489,0.24041,0.60132,0.58805,0.58111,0.36752,1.15863,0.77392,0.23661,0.001406,0.001406,0.001406
32,472.279,1.13491,0.79002,0.24215,0.5446,0.5716,0.54488,0.30883,1.37368,0.85452,0.24655,0.0013862,0.0013862,0.0013862
