epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.98172,6.69232,3.99413,5.44985,0,0,0,0,3.4684,6.73084,2.01972,0,0,0
2,11.3267,6.55263,3.90425,5.14414,0,0,0,0,3.43676,6.71361,2.04087,1.63399e-05,1.63399e-05,1.63399e-05
3,12.4962,6.68999,4.03882,5.48555,0,0,0,0,3.43174,6.71315,2.08609,3.20197e-05,3.20197e-05,3.20197e-05
4,13.3326,6.59488,4.04709,5.34256,0,0,0,0,3.4272,6.71515,2.1161,4.70394e-05,4.70394e-05,4.70394e-05
5,14.4845,6.50697,3.97762,5.39037,0,0,0,0,3.39503,6.70165,1.9895,6.13989e-05,6.13989e-05,6.13989e-05
6,15.8682,6.44713,3.94585,4.92331,0,0,0,0,3.63894,6.83883,2.10268,7.50984e-05,7.50984e-05,7.50984e-05
7,17.1063,6.25582,3.88938,4.58159,0,0,0,0,3.7092,6.86951,2.17944,8.81376e-05,8.81376e-05,8.81376e-05
8,18.4622,6.3474,3.94087,4.40293,0,0,0,0,4.83476,7.49958,2.86052,0.000100517,0.000100517,0.000100517
9,19.6906,6.3376,4.02342,4.30366,0,0,0,0,6.57289,8.47463,3.938,0.000112236,0.000112236,0.000112236
10,20.9329,5.9819,3.86413,3.74698,0,0,0,0,6.74822,6.51883,4.02166,0.000123295,0.000123295,0.000123295
11,22.2701,5.5225,3.85823,2.95753,0,0,0,0,6.60084,5.44221,3.72177,0.000133693,0.000133693,0.000133693
12,23.5987,5.96508,3.76079,3.02563,0,0,0,0,6.27073,4.82168,3.01724,0.000143432,0.000143432,0.000143432
13,24.9042,5.13732,3.80262,2.77094,0.00575,0.06948,0.00344,0.00085,5.55068,4.33898,2.51068,0.00015251,0.00015251,0.00015251
14,26.1049,5.05429,3.6979,2.61808,0.00963,0.14579,0.01497,0.00261,4.62411,3.77319,2.02293,0.000160929,0.000160929,0.000160929
15,27.3472,4.89426,3.63486,2.40788,0.00649,0.09783,0.01759,0.00591,4.75039,3.72438,1.78135,0.000168687,0.000168687,0.000168687
16,28.6116,5.40696,3.66411,2.65703,0.00627,0.09441,0.01797,0.00599,4.72961,3.73256,1.85945,0.000175785,0.000175785,0.000175785
17,30.7165,4.98917,3.44335,2.48325,0.00732,0.10568,0.01798,0.00671,4.75409,3.7567,1.85334,0.000182223,0.000182223,0.000182223
18,32.007,4.5779,3.43442,2.25021,0.00732,0.10568,0.01798,0.00671,4.75409,3.7567,1.85334,0.000188001,0.000188001,0.000188001
19,33.9416,4.24525,3.39221,2.25379,0.00586,0.07847,0.00403,0.00137,4.77385,3.82902,1.83229,0.000193119,0.000193119,0.000193119
20,35.2841,4.38395,3.38316,2.33284,0.00586,0.07847,0.00403,0.00137,4.77385,3.82902,1.83229,0.000197576,0.000197576,0.000197576
21,37.2609,4.37188,3.3504,2.24031,0.00153,0.01822,0.00083,0.00022,4.8044,3.89965,1.7189,0.000201374,0.000201374,0.000201374
22,38.938,4.18983,3.37393,2.17353,0.00153,0.01822,0.00083,0.00022,4.8044,3.89965,1.7189,0.000204511,0.000204511,0.000204511
23,40.4039,4.62474,3.43235,2.3942,0.00208,0.0262,0.0011,0.00039,4.79536,3.96539,1.53589,0.000206988,0.000206988,0.000206988
24,41.8458,3.80099,3.26094,2.1968,0.00208,0.0262,0.0011,0.00039,4.79536,3.96539,1.53589,0.000208805,0.000208805,0.000208805
25,44.1449,3.7694,3.27894,2.02342,0.00158,0.02182,0.00082,0.00027,4.75559,3.96753,1.48873,0.000209962,0.000209962,0.000209962
26,46.4434,3.92579,3.23149,2.11019,0.00158,0.02182,0.00082,0.00027,4.75559,3.96753,1.48873,0.000210459,0.000210459,0.000210459
27,48.2707,4.06808,3.19563,2.14675,0.00204,0.02752,0.00108,0.00028,4.7531,3.96988,1.49682,0.000210295,0.000210295,0.000210295
