epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8157,2.36671,3.31033,0.32809,0,0,0,0,2.90351,2.95441,0.36584,0.00199598,0.00199598,0.00199598
2,109.33,2.34531,1.94128,0.32251,0.02307,0.18251,0.01824,0.00558,3.1365,2.39404,0.45153,0.00395642,0.00395642,0.00395642
3,161.054,2.48027,1.75356,0.34509,0.0798,0.08179,0.05202,0.01571,3.12356,2.57049,0.40298,0.00587726,0.00587726,0.00587726
4,217.626,2.5174,1.77207,0.35512,0.00371,0.07534,0.00224,0.00048,3.41703,2.87662,0.44978,0.0077585,0.0077585,0.0077585
5,269.041,2.5633,1.86133,0.37473,0,0,0,0,3.48885,3.37154,0.59004,0.00960014,0.00960014,0.00960014
6,322.739,2.83095,1.95309,0.43133,0.02854,0.02297,0.01504,0.005,3.93186,3.45329,0.64204,0.009505,0.009505,0.009505
7,374.355,2.91018,2.05396,0.45,0,0,0,0,3.75049,3.39189,0.54273,0.009406,0.009406,0.009406
8,425.102,2.9954,2.04218,0.4542,0,0,0,0,3.6884,4.03595,0.58874,0.009307,0.009307,0.009307
9,477.349,2.88496,2.21664,0.42352,0,0,0,0,3.58964,4.33729,0.50017,0.009208,0.009208,0.009208
10,529.453,2.68605,3.36442,0.53801,0,0,0,0,3.35565,4.27292,0.62813,0.009109,0.009109,0.009109
11,581.409,2.72995,3.35885,0.60664,0,0,0,0,3.33024,4.27533,0.62759,0.00901,0.00901,0.00901
12,635.265,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008911,0.008911,0.008911
13,687.359,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008812,0.008812,0.008812
