epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8851,2.3246,5.57161,1.5824,0.15789,0.00121,0.07932,0.02115,3.08793,4.85808,1.91406,0.00332663,0.00332663,0.00332663
2,114.482,2.42629,3.0809,1.62117,0.00958,0.10475,0.01306,0.00675,3.34389,5.42503,2.11515,0.00659403,0.00659403,0.00659403
3,170.434,2.58547,3.01118,1.73749,0.02363,0.02095,0.01719,0.0037,3.69815,4.98956,2.72237,0.00979543,0.00979543,0.00979543
4,225.073,2.75692,3.20064,1.93021,0.00213,0.09428,0.00383,0.00061,3.58989,4.77496,2.41728,0.009703,0.009703,0.009703
5,282.57,3.20618,136.608,3.13454,0.0011,0.05359,0.00061,0.00022,4.01504,282.204,5.97702,0.009604,0.009604,0.009604
6,339.439,3.52706,176.338,5.17313,0.00156,0.04956,0.00099,0.00035,3.98824,70.5763,5.53458,0.009505,0.009505,0.009505
7,391.131,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009406,0.009406,0.009406
8,446.549,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009307,0.009307,0.009307
9,498.906,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009208,0.009208,0.009208
10,550.911,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009109,0.009109,0.009109
11,603.741,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00901,0.00901,0.00901
